,frame_id,Timestamp
214,215,2025-12-12 10:57:23.467989
215,216,2025-12-12 10:57:23.473947
216,217,2025-12-12 10:57:23.481985
217,218,2025-12-12 10:57:23.489087
218,219,2025-12-12 10:57:23.497151
219,220,2025-12-12 10:57:23.503928
220,221,2025-12-12 10:57:23.509934
221,222,2025-12-12 10:57:23.518107
222,223,2025-12-12 10:57:23.525098
223,224,2025-12-12 10:57:23.533341
224,225,2025-12-12 10:57:23.539905
225,226,2025-12-12 10:57:23.547903
226,227,2025-12-12 10:57:23.555291
227,228,2025-12-12 10:57:23.564387
228,229,2025-12-12 10:57:23.572166
229,230,2025-12-12 10:57:23.578770
230,231,2025-12-12 10:57:23.588109
231,232,2025-12-12 10:57:23.596336
232,233,2025-12-12 10:57:23.603337
233,234,2025-12-12 10:57:23.610311
234,235,2025-12-12 10:57:23.618337
235,236,2025-12-12 10:57:23.624327
236,237,2025-12-12 10:57:23.631747
237,238,2025-12-12 10:57:23.638177
238,239,2025-12-12 10:57:23.644977
239,240,2025-12-12 10:57:23.651013
240,241,2025-12-12 10:57:23.658502
241,242,2025-12-12 10:57:23.666527
242,243,2025-12-12 10:57:23.673705
243,244,2025-12-12 10:57:23.680362
244,245,2025-12-12 10:57:23.686226
245,246,2025-12-12 10:57:23.692245
246,247,2025-12-12 10:57:23.698900
247,248,2025-12-12 10:57:23.705900
248,249,2025-12-12 10:57:23.711912
249,250,2025-12-12 10:57:23.717249
250,251,2025-12-12 10:57:23.722763
251,252,2025-12-12 10:57:23.730125
252,253,2025-12-12 10:57:23.735772
253,254,2025-12-12 10:57:23.741805
254,255,2025-12-12 10:57:23.748812
255,256,2025-12-12 10:57:23.755811
256,257,2025-12-12 10:57:23.761811
257,258,2025-12-12 10:57:23.770881
258,259,2025-12-12 10:57:23.777173
259,260,2025-12-12 10:57:23.783499
260,261,2025-12-12 10:57:23.789501
261,262,2025-12-12 10:57:23.796499
262,263,2025-12-12 10:57:23.803514
263,264,2025-12-12 10:57:23.809517
264,265,2025-12-12 10:57:23.816032
265,266,2025-12-12 10:57:23.822055
266,267,2025-12-12 10:57:23.828041
267,268,2025-12-12 10:57:23.835109
268,269,2025-12-12 10:57:23.840631
269,270,2025-12-12 10:57:23.854416
270,271,2025-12-12 10:57:23.864496
271,272,2025-12-12 10:57:23.871506
272,273,2025-12-12 10:57:23.878525
273,274,2025-12-12 10:57:23.884557
274,275,2025-12-12 10:57:23.891558
275,276,2025-12-12 10:57:23.898814
276,277,2025-12-12 10:57:23.905942
277,278,2025-12-12 10:57:23.913893
278,279,2025-12-12 10:57:23.921066
279,280,2025-12-12 10:57:23.929177
280,281,2025-12-12 10:57:23.936357
281,282,2025-12-12 10:57:23.943207
282,283,2025-12-12 10:57:23.950706
283,284,2025-12-12 10:57:23.956755
284,285,2025-12-12 10:57:23.965182
285,286,2025-12-12 10:57:23.973434
286,287,2025-12-12 10:57:23.982653
287,288,2025-12-12 10:57:23.991338
288,289,2025-12-12 10:57:23.999368
289,290,2025-12-12 10:57:24.012341
290,291,2025-12-12 10:57:24.023339
291,292,2025-12-12 10:57:24.032502
292,293,2025-12-12 10:57:24.040001
293,294,2025-12-12 10:57:24.047520
294,295,2025-12-12 10:57:24.053518
295,296,2025-12-12 10:57:24.059696
296,297,2025-12-12 10:57:24.066225
297,298,2025-12-12 10:57:24.071740
298,299,2025-12-12 10:57:24.078759
299,300,2025-12-12 10:57:24.084739
300,301,2025-12-12 10:57:24.090742
301,302,2025-12-12 10:57:24.098061
302,303,2025-12-12 10:57:24.103574
303,304,2025-12-12 10:57:24.110060
304,305,2025-12-12 10:57:24.116030
305,306,2025-12-12 10:57:24.122087
306,307,2025-12-12 10:57:24.128019
307,308,2025-12-12 10:57:24.133560
308,309,2025-12-12 10:57:24.139073
309,310,2025-12-12 10:57:24.145179
310,311,2025-12-12 10:57:24.153555
311,312,2025-12-12 10:57:24.161301
312,313,2025-12-12 10:57:24.167302
313,314,2025-12-12 10:57:24.173393
314,315,2025-12-12 10:57:24.180909
315,316,2025-12-12 10:57:24.186970
316,317,2025-12-12 10:57:24.193985
317,318,2025-12-12 10:57:24.198984
318,319,2025-12-12 10:57:24.207020
319,320,2025-12-12 10:57:24.214436
320,321,2025-12-12 10:57:24.220952
321,322,2025-12-12 10:57:24.227959
322,323,2025-12-12 10:57:24.234961
323,324,2025-12-12 10:57:24.241477
324,325,2025-12-12 10:57:24.248977
325,326,2025-12-12 10:57:24.256268
326,327,2025-12-12 10:57:24.264454
327,328,2025-12-12 10:57:24.271619
328,329,2025-12-12 10:57:24.278575
329,330,2025-12-12 10:57:24.286578
330,331,2025-12-12 10:57:24.292023
331,332,2025-12-12 10:57:24.300492
332,333,2025-12-12 10:57:24.308541
333,334,2025-12-12 10:57:24.316957
334,335,2025-12-12 10:57:24.324053
335,336,2025-12-12 10:57:24.332228
336,337,2025-12-12 10:57:24.340169
337,338,2025-12-12 10:57:24.347344
338,339,2025-12-12 10:57:24.354944
339,340,2025-12-12 10:57:24.362964
340,341,2025-12-12 10:57:24.370393
341,342,2025-12-12 10:57:24.379483
342,343,2025-12-12 10:57:24.386479
343,344,2025-12-12 10:57:24.393485
344,345,2025-12-12 10:57:24.400500
345,346,2025-12-12 10:57:24.406480
346,347,2025-12-12 10:57:24.413513
347,348,2025-12-12 10:57:24.419998
348,349,2025-12-12 10:57:24.427571
349,350,2025-12-12 10:57:24.434001
350,351,2025-12-12 10:57:24.440033
351,352,2025-12-12 10:57:24.447639
352,353,2025-12-12 10:57:24.453462
353,354,2025-12-12 10:57:24.458986
354,355,2025-12-12 10:57:24.466078
355,356,2025-12-12 10:57:24.472594
356,357,2025-12-12 10:57:24.479615
357,358,2025-12-12 10:57:24.485594
358,359,2025-12-12 10:57:24.491674
359,360,2025-12-12 10:57:24.498200
360,361,2025-12-12 10:57:24.505200
361,362,2025-12-12 10:57:24.512206
362,363,2025-12-12 10:57:24.518480
363,364,2025-12-12 10:57:24.524508
364,365,2025-12-12 10:57:24.531035
365,366,2025-12-12 10:57:24.539109
366,367,2025-12-12 10:57:24.545623
367,368,2025-12-12 10:57:24.551621
