Time,delta_X,delta_Y
11:42:56.482240,-104,-62
11:42:56.530046,-115,-59
11:42:56.578023,-127,-74
11:42:56.641801,-127,-64
11:42:56.689762,-127,-68
11:42:56.738309,-127,-58
11:42:56.786282,-127,-24
11:42:56.833671,-127,0
11:42:56.897702,-127,1
11:42:56.945437,-127,-2
11:42:56.993956,-127,-1
11:42:57.041683,-127,-7
11:42:57.089524,-127,-3
11:42:57.137609,-127,0
11:42:57.201989,-127,0
11:42:57.249989,-127,-44
11:42:57.297727,-127,-35
11:42:57.345505,-11,-6
11:42:57.393915,4,-30
11:42:57.457858,33,-61
11:42:57.505857,26,-86
11:42:57.553461,28,-113
11:42:57.601416,13,-127
11:42:57.649387,18,-127
11:42:57.697341,-7,-127
11:42:57.761407,-12,-127
11:42:57.808692,-16,-114
11:42:57.857057,-3,-85
11:42:57.904735,20,-79
11:42:57.953675,27,-85
11:42:58.017210,34,-110
11:42:58.064666,29,-107
11:42:58.112816,14,-72
11:42:58.161342,9,-53
11:42:58.209492,7,-43
11:42:58.257437,3,-46
11:42:58.320584,8,-29
11:42:58.368662,10,6
11:42:58.416758,12,24
11:42:58.464593,6,30
11:42:58.513464,10,35
11:42:58.576471,9,35
11:42:58.624526,19,43
11:42:58.672765,38,50
11:42:58.721483,52,66
11:42:58.769274,60,89
11:42:58.816780,51,113
11:42:58.880882,43,127
11:42:58.928737,41,127
11:42:58.976861,36,127
11:42:59.024213,38,127
11:42:59.073087,38,124
11:42:59.136794,69,108
11:42:59.184637,62,96
11:42:59.232696,47,93
11:42:59.280974,47,80
11:42:59.329083,41,70
11:42:59.376898,39,62
11:42:59.440592,30,52
11:42:59.488509,23,44
11:42:59.536461,18,39
11:42:59.584674,12,18
11:42:59.632841,3,4
11:42:59.840419,8,-15
11:42:59.888359,4,-17
11:42:59.936803,3,-19
11:43:00.000924,-14,-29
11:43:00.048677,-10,-12
11:43:00.095855,-14,-20
11:43:00.144265,-64,-51
11:43:00.192416,-118,-86
11:43:00.240695,-127,-103
11:43:00.304316,-127,-83
11:43:00.352404,-127,-62
11:43:00.399861,-127,-53
11:43:00.447543,-79,-47
11:43:00.496105,-31,-57
11:43:00.560352,-5,-64
11:43:00.608179,23,-67
11:43:00.656562,68,-74
11:43:00.704134,93,-66
11:43:00.752300,87,-53
11:43:00.799962,94,-32
11:43:00.864457,114,-28
11:43:00.911860,127,-14
11:43:00.959707,127,3
11:43:01.007689,127,27
11:43:01.056686,127,37
11:43:01.120356,88,48
11:43:01.168358,46,59
11:43:01.215986,20,65
11:43:01.264101,14,66
11:43:01.312015,0,66
11:43:01.360031,-13,60
11:43:01.423686,-23,52
11:43:01.471673,-55,47
11:43:01.519879,-97,42
11:43:01.567964,-127,40
11:43:01.616041,-127,9
11:43:01.680252,-127,-24
11:43:01.728027,-127,-45
11:43:01.775817,-127,-69
11:43:01.823964,-127,-78
11:43:01.871656,-127,-92
11:43:01.935827,-127,-96
11:43:01.983648,-127,-93
11:43:02.032037,-127,-86
11:43:02.079499,-59,-75
11:43:02.127519,26,-55
11:43:02.175339,62,-51
11:43:02.239721,90,-49
11:43:02.287913,102,-49
11:43:02.335730,110,-38
11:43:02.383664,105,-30
11:43:02.431521,113,-28
11:43:02.495106,111,-14
11:43:02.542963,127,0
11:43:02.590945,120,10
11:43:02.638661,106,24
11:43:02.686980,71,27
11:43:02.735580,51,36
11:43:02.799248,37,42
11:43:02.847614,18,51
11:43:02.894692,-6,67
11:43:02.943424,-36,74
11:43:02.991009,-64,81
11:43:03.054887,-79,59
11:43:03.102726,-92,48
11:43:03.151187,-84,29
11:43:03.198802,-70,0
11:43:03.246912,-59,-17
11:43:03.294907,-45,-24
11:43:03.358884,-40,-25
11:43:03.406802,-31,-28
11:43:03.454918,-22,-31
11:43:03.502807,-36,-44
11:43:03.550878,-23,-39
11:43:03.615346,-6,-30
11:43:03.663146,1,-7
11:43:04.717650,-20,-4
11:43:04.765457,-42,-16
11:43:04.814054,-26,-8
11:43:05.021828,53,14
11:43:05.069573,80,25
11:43:05.117920,77,28
11:43:05.165839,62,23
11:43:05.214218,30,1
11:43:05.278257,43,-13
11:43:05.326131,82,-8
11:43:05.373813,91,-2
11:43:05.422262,108,5
11:43:05.470231,55,1
11:43:05.517270,14,3
11:43:05.581225,14,3
11:43:05.629147,75,17
11:43:05.676972,7,2
11:43:05.773684,-10,-6
11:43:05.837894,-109,-25
11:43:05.886243,-24,-2
11:43:05.934539,-29,-16
11:43:05.982469,-87,-26
11:43:06.030308,-68,-15
11:43:06.077923,-60,-17
11:43:06.142312,-66,-19
11:43:06.189492,-127,-25
11:43:06.238233,-116,-13
11:43:06.285680,-38,-10
11:43:06.685737,69,-1
11:43:06.749099,106,5
11:43:06.797584,86,13
11:43:06.845259,120,-2
11:43:06.893259,127,-28
11:43:06.941516,127,-11
11:43:06.989013,91,9
11:43:07.052916,76,12
11:43:07.101038,68,-3
11:43:07.149044,32,-6
11:43:07.197610,64,7
11:43:07.244578,48,11
11:43:07.292818,1,0
11:43:07.356776,-1,0
11:43:07.405641,-121,-21
11:43:07.453000,-104,-9
11:43:07.500539,-17,0
11:43:07.613694,-62,-18
11:43:07.661443,-127,-27
11:43:07.708712,-127,-17
11:43:07.756533,-127,-3
11:43:07.804817,-127,-5
11:43:07.852809,-127,0
11:43:07.917266,-127,0
11:43:07.964823,-127,-16
11:43:08.012148,-120,-26
11:43:08.060363,-74,-42
11:43:08.108093,-68,-52
11:43:08.171947,-40,-43
11:43:08.214211,-7,-12
11:43:08.267958,40,-9
11:43:08.315896,67,-13
11:43:08.364193,109,-13
11:43:08.412117,108,13
11:43:08.475710,127,12
11:43:08.523979,127,10
11:43:08.572054,127,14
11:43:08.620978,127,15
11:43:08.668216,127,5
